timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448678896,0.371875,0.3819444444444444,952,550,3348,930,2560,1440,0,0,0,0,1,0,0,0
1612448678946,0.371875,0.3819444444444444,952,550,3348,930,2560,1440,0,0,0,0,1,0,0,0
1612448678997,0.371875,0.3819444444444444,952,550,3348,930,2560,1440,0,0,0,0,1,0,0,0
1612448679048,0.371875,0.3819444444444444,952,550,3348,930,2560,1440,0,0,0,0,1,0,0,0
1612448679099,0.371875,0.3819444444444444,952,550,3348,930,2560,1440,0,0,0,0,1,0,0,0
1612448679150,0.371875,0.37916666666666665,952,546,3348,924,2560,1440,0,0,0,0,1,0,0,0
1612448679201,0.371875,0.37916666666666665,952,546,3348,923,2560,1440,0,0,0,0,1,0,0,0
1612448679252,0.37109375,0.37916666666666665,950,546,3345,924,2560,1440,0,0,0,0,1,0,0,0
1612448679303,0.37109375,0.37916666666666665,950,546,3345,924,2560,1440,0,0,0,0,1,0,0,0
1612448679353,0.369921875,0.37916666666666665,947,546,3341,924,2560,1440,0,0,0,0,1,0,0,0
1612448679404,0.36953125,0.3548611111111111,946,511,3339,871,2560,1440,0,0,0,0,0,1,0,0
1612448679455,0.38828125,0.30277777777777776,994,436,3412,758,2560,1440,0,0,0,0,0,1,0,0
1612448679506,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679557,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679608,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679659,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679710,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679761,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679862,0.3890625,0.3013888888888889,996,434,3415,755,2560,1440,0,0,0,0,0,1,0,0
1612448679913,0.387109375,0.28125,991,405,3407,712,2560,1440,0,0,0,0,0,1,0,0
1612448679966,0.38671875,0.26458333333333334,990,381,3405,676,2560,1440,0,0,0,0,0,1,0,0
1612448680017,0.38671875,0.25763888888888886,990,371,3405,661,2560,1440,0,0,0,0,0,1,0,0
1612448680068,0.38828125,0.25277777777777777,994,364,3412,651,2560,1440,0,0,0,0,1,0,0,0
1612448680118,0.4046875,0.24583333333333332,1036,354,3474,636,2560,1440,0,0,0,1,0,0,0,0
1612448680169,0.45859375,0.2423611111111111,1174,349,3681,628,2560,1440,0,0,0,1,0,0,0,0
1612448680220,0.47734375,0.24444444444444444,1222,352,3753,633,2560,1440,0,0,0,1,0,0,0,0
1612448680271,0.47734375,0.24444444444444444,1222,352,3753,633,2560,1440,0,0,0,1,0,0,0,0
1612448680322,0.47734375,0.24444444444444444,1222,352,3753,633,2560,1440,0,0,0,1,0,0,0,0
1612448680372,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680423,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680474,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680525,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680576,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680626,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680677,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680728,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680779,0.476953125,0.24444444444444444,1221,352,3752,633,2560,1440,0,0,0,1,0,0,0,0
1612448680880,0.47578125,0.24583333333333332,1218,354,3748,635,2560,1440,0,0,0,1,0,0,0,0
1612448680931,0.47578125,0.24583333333333332,1218,354,3748,635,2560,1440,0,0,0,1,0,0,0,0
1612448680982,0.47578125,0.24583333333333332,1218,354,3748,635,2560,1440,0,0,0,1,0,0,0,0
1612448681033,0.47578125,0.24583333333333332,1218,354,3748,635,2560,1440,0,0,0,1,0,0,0,0
1612448681084,0.47578125,0.24583333333333332,1218,354,3748,635,2560,1440,0,0,0,1,0,0,0,0
1612448681135,0.471875,0.2513888888888889,1208,362,3733,647,2560,1440,0,0,0,1,0,0,0,0
1612448681186,0.432421875,0.28055555555555556,1107,404,3581,710,2560,1440,0,0,0,1,0,0,0,0
1612448681237,0.383984375,0.30833333333333335,983,444,3395,771,2560,1440,0,0,0,0,0,1,0,0
1612448681287,0.38125,0.30972222222222223,976,446,3384,774,2560,1440,0,0,0,0,0,1,0,0
1612448681338,0.38125,0.30972222222222223,976,446,3385,774,2560,1440,0,0,0,0,0,1,0,0
1612448681389,0.380078125,0.3111111111111111,973,448,3380,777,2560,1440,0,0,0,0,0,1,0,0
1612448681440,0.3609375,0.32708333333333334,924,471,3307,811,2560,1440,0,0,0,0,0,1,0,0
1612448681490,0.327734375,0.34652777777777777,839,499,3179,853,2560,1440,0,0,0,0,0,1,0,0
1612448681541,0.31640625,0.35138888888888886,810,506,3136,864,2560,1440,0,0,0,0,0,1,0,0
1612448681592,0.31640625,0.35138888888888886,810,506,3135,864,2560,1440,0,0,0,0,0,1,0,0
1612448681643,0.3109375,0.3527777777777778,796,508,3115,866,2560,1440,0,0,0,0,0,1,0,0
1612448681694,0.30234375,0.35208333333333336,774,507,3081,865,2560,1440,0,0,0,0,0,1,0,0
1612448681745,0.29296875,0.35138888888888886,750,506,3045,864,2560,1440,0,0,0,0,0,1,0,0
