timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448789237,0.5711436170212766,0.8165503489531406,859,819,859,890,1504,1003,0,0,0,0,0,0,1
1612448789289,0.5711436170212766,0.8165503489531406,859,819,859,890,1504,1003,0,0,0,0,0,0,1
1612448789345,0.5684840425531915,0.8155533399800599,855,818,855,889,1504,1003,0,0,0,1,0,0,0
1612448789543,0.5651595744680851,0.7856430707876371,850,788,850,859,1504,1003,0,0,0,0,0,0,1
1612448789594,0.5651595744680851,0.773678963110668,850,776,850,847,1504,1003,0,0,0,0,0,0,1
1612448789644,0.5638297872340425,0.7457627118644068,848,748,848,819,1504,1003,0,0,0,0,1,0,0
1612448789695,0.5625,0.711864406779661,846,714,846,784,1504,1003,0,0,0,0,1,0,0
1612448789745,0.5718085106382979,0.6869391824526421,860,689,860,760,1504,1003,0,0,0,0,0,1,0
1612448789797,0.5804521276595744,0.6769690927218345,873,679,873,750,1504,1003,0,0,0,0,0,1,0
1612448789849,0.5851063829787234,0.6809571286141576,880,683,880,754,1504,1003,0,0,0,0,0,1,0
1612448789900,0.5997340425531915,0.6999002991026919,902,702,902,772,1504,1003,0,0,0,0,1,0,0
1612448789952,0.6037234042553191,0.7018943170488534,908,704,908,775,1504,1003,0,0,0,0,1,0,0
1612448790003,0.6037234042553191,0.7028913260219342,908,705,908,776,1504,1003,0,0,0,0,1,0,0
1612448790054,0.6063829787234043,0.7258225324027916,912,728,912,799,1504,1003,0,0,0,0,1,0,0
1612448790105,0.6150265957446809,0.7856430707876371,925,788,925,858,1504,1003,0,0,0,0,0,0,1
1612448790161,0.6336436170212766,0.8295114656031904,953,832,953,903,1504,1003,0,0,0,0,0,0,1
1612448790213,0.6409574468085106,0.8374875373878365,964,840,964,910,1504,1003,0,0,0,0,0,0,1
