timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448709613,0.3453125,0.5569444444444445,884,802,3246,1308,2560,1440,0,0,0,1,0,0,0,0
1612448709717,0.362890625,0.4263888888888889,929,614,3314,1026,2560,1440,0,0,0,0,1,0,0,0
1612448709768,0.3578125,0.36527777777777776,916,526,3294,894,2560,1440,0,0,0,0,0,0,1,0
1612448709819,0.345703125,0.26666666666666666,885,384,3248,680,2560,1440,0,0,0,0,0,0,1,0
1612448709869,0.34453125,0.23333333333333334,882,336,3244,608,2560,1440,0,0,0,0,0,0,1,0
1612448709920,0.3453125,0.22291666666666668,884,321,3247,586,2560,1440,0,0,0,0,0,0,1,0
1612448709970,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710021,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710072,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710123,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710174,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710224,0.3453125,0.2222222222222222,884,320,3247,584,2560,1440,0,0,0,0,0,0,1,0
1612448710275,0.3484375,0.22569444444444445,892,325,3259,592,2560,1440,0,0,0,0,0,0,1,0
1612448710376,0.423828125,0.26875,1085,387,3548,685,2560,1440,0,0,0,0,0,0,1,0
1612448710427,0.421484375,0.2701388888888889,1079,389,3539,688,2560,1440,0,0,0,0,0,0,1,0
1612448710478,0.419140625,0.26944444444444443,1073,388,3530,687,2560,1440,0,0,0,0,0,0,1,0
1612448710529,0.418359375,0.26944444444444443,1071,388,3527,686,2560,1440,0,0,0,0,0,0,1,0
1612448710579,0.418359375,0.26944444444444443,1071,388,3527,686,2560,1440,0,0,0,0,0,0,1,0
1612448710631,0.418359375,0.26944444444444443,1071,388,3527,686,2560,1440,0,0,0,0,0,0,1,0
