timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448655235,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655286,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655339,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655470,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655520,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655575,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655627,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655683,0.30486111111111114,0.7444444444444445,439,670,1052,800,1440,900,0,0,0,0,0,0,0,1,0
1612448655734,0.29930555555555555,0.6877777777777778,431,619,1044,749,1440,900,0,0,0,1,0,0,0,0,0
1612448655786,0.2923611111111111,0.55,421,495,1034,625,1440,900,0,0,0,0,1,0,0,0,0
1612448655838,0.2861111111111111,0.4077777777777778,412,367,1025,497,1440,900,0,0,0,0,0,0,1,0,0
1612448655890,0.28402777777777777,0.39111111111111113,409,352,1022,482,1440,900,0,0,0,0,0,0,1,0,0
1612448655942,0.28402777777777777,0.39111111111111113,409,352,1022,482,1440,900,0,0,0,0,0,0,1,0,0
1612448656004,0.28402777777777777,0.39111111111111113,409,352,1022,482,1440,900,0,0,0,0,0,0,1,0,0
1612448656055,0.2826388888888889,0.4066666666666667,407,366,1020,496,1440,900,0,0,0,0,0,0,1,0,0
1612448656106,0.26875,0.4688888888888889,387,422,1000,552,1440,900,0,0,0,0,0,0,1,0,0
1612448656157,0.25277777777777777,0.52,364,468,977,598,1440,900,0,0,0,0,0,0,1,0,0
1612448656209,0.2423611111111111,0.54,349,486,962,616,1440,900,0,0,0,0,0,0,1,0,0
1612448656260,0.2375,0.5511111111111111,342,496,955,626,1440,900,0,0,0,0,1,0,0,0,0
