timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448800137,0.5644946808510638,0.8015952143569293,849,804,849,874,1504,1003,0,0,0,0,0,0,0,1,0
1612448800191,0.5644946808510638,0.8015952143569293,849,804,849,874,1504,1003,0,0,0,0,0,0,0,1,0
1612448800246,0.5651595744680851,0.7996011964107677,850,802,850,873,1504,1003,0,0,0,1,0,0,0,0,0
1612448800429,0.49069148936170215,0.551345962113659,738,553,738,624,1504,1003,0,0,0,0,0,1,0,0,0
1612448800479,0.48271276595744683,0.49750747756729813,726,499,726,570,1504,1003,0,0,0,0,0,1,0,0,0
1612448800529,0.4853723404255319,0.4715852442671984,730,473,730,544,1504,1003,0,0,0,0,1,0,0,0,0
1612448800582,0.5053191489361702,0.4546360917248255,760,456,760,526,1504,1003,0,0,0,0,0,0,1,0,0
1612448800633,0.5246010638297872,0.4456630109670987,789,447,789,518,1504,1003,0,0,0,0,0,0,1,0,0
1612448800685,0.523936170212766,0.4386839481555334,788,440,788,511,1504,1003,0,0,0,0,0,0,1,0,0
1612448800736,0.5086436170212766,0.4247258225324028,765,426,765,497,1504,1003,0,0,0,0,0,0,1,0,0
1612448800789,0.4767287234042553,0.4127617148554337,717,414,717,485,1504,1003,0,0,0,0,0,0,1,0,0
1612448800841,0.47074468085106386,0.42572283150548357,708,427,708,498,1504,1003,0,0,0,0,0,0,1,0,0
1612448800893,0.46675531914893614,0.45164506480558325,702,453,702,524,1504,1003,0,0,0,0,0,0,1,0,0
1612448800944,0.4441489361702128,0.45862412761714855,668,460,668,531,1504,1003,0,0,0,0,1,0,0,0,0
1612448800996,0.40492021276595747,0.4646061814556331,609,466,609,536,1504,1003,0,0,0,0,1,0,0,0,0
1612448801047,0.38231382978723405,0.46859421734795614,575,470,575,540,1504,1003,0,0,0,0,1,0,0,0,0
1612448801097,0.37101063829787234,0.4666001994017946,558,468,558,538,1504,1003,0,0,0,0,1,0,0,0,0
1612448801149,0.3690159574468085,0.4675972083748754,555,469,555,540,1504,1003,0,0,0,0,1,0,0,0,0
1612448801200,0.36436170212765956,0.47357926221335994,548,475,548,546,1504,1003,0,0,0,0,0,1,0,0,0
1612448801251,0.3617021276595745,0.4785643070787637,544,480,544,551,1504,1003,0,0,0,0,0,1,0,0,0
1612448801302,0.35970744680851063,0.481555333998006,541,483,541,554,1504,1003,0,0,0,0,0,1,0,0,0
1612448801354,0.35970744680851063,0.48554336989032904,541,487,541,558,1504,1003,0,0,0,0,0,1,0,0,0
1612448801404,0.35970744680851063,0.4865403788634098,541,488,541,558,1504,1003,0,0,0,0,0,1,0,0,0
1612448801455,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801512,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801564,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801615,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,1,0,0,0,0,1,0,0,0
1612448801666,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801722,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801773,0.35970744680851063,0.4885343968095713,541,490,541,560,1504,1003,0,0,0,0,0,1,0,0,0
1612448801825,0.36103723404255317,0.4905284147557328,543,492,543,562,1504,1003,0,0,0,0,0,1,0,0,0
1612448801876,0.40757978723404253,0.5403788634097707,613,542,613,613,1504,1003,0,0,0,0,0,1,0,0,0
